version,codename,series,created,release,eol,eol-server,eol-esm
1,Yarrow,,,2003-11-05,2004-09-20,, 
2,Tettnang,,,2004-05-18,2005-04-11,, 
3,Heidelberg,,,2004-11-08,2006-01-16,, 
4,Stentz,,,2005-06-13,2006-08-07,, 
5,Bordeaux,,,2006-03-20,2007-07-02,, 
6,Zod,,,2006-10-24,2007-12-07,, 
7,Moonshine,,,2007-05-31,2008-06-13,, 
8,Werewolf,,,2007-11-08,2009-01-07,, 
9,Sulphur,,,2008-05-13,2009-07-10,, 
10,Cambridge,,,2008-11-25,2009-12-17,, 
11,Leonidas,,,2009-06-09,2010-06-25,, 
12,Constantine,,,2009-11-17,2010-12-02,, 
13,Goddard,,,2010-05-25,2011-06-24,, 
14,Laughlin,,,2010-11-02,2011-12-09,, 
15,Lovelock,,,2011-05-24,2012-06-26,, 
16,Verne,,,2011-11-08,2013-02-12,, 
17,Beefy Miracle,,,2012-05-29,2013-07-30,, 
18,Spherical Cow,,,2013-01-15,2014-01-14,, 
19,Schrödinger's Cat,,,2013-07-02,2015-01-06,, 
20,Heisenbug,,,2013-12-17,2015-06-23,, 
21,,,,2014-12-09,2015-12-01,, 
22,,,,2015-05-26,2016-07-19,, 
23,,,,2015-11-03,2016-12-20,, 
24,,,,2016-06-21,2017-08-08,, 
25,,,,2016-11-22,2017-12-12,, 
26,,,,2017-07-11,2018-05-29,, 
27,,,,2017-11-14,2018-11-30,, 
28,,,,2018-05-01,2019-05-28,, 
29,,,,2018-10-30,2019-11-26,, 
30,,,,2019-04-30,2020-05-26,, 
31,,,,2019-10-29,2020-11-24,, 
32,,,,2020-04-28,2021-05-25,, 
33,,,,2020-10-27,2021-11-30,, 
34,,,,2021-04-27,2022-06-07,, 
35,,,,2021-11-02,2022-12-13,, 
36,,,,2022-05-10,2023-05-16,, 
37,,,,2022-11-15,2023-12-05,, 
38,,,,2023-04-18,2024-05-21,,  
39,,,,2023-11-07,2024-11-26,,  
40,,,,2024-04-23,2025-05-28,,  
41,,,,2024-10-29,2025-11-19,,  
42,,,,2025-04-22,2026-05-13,, 
43,,,,2025-11-11,2026-12-02,, 
